conversation,cluster_final,cluster_name,timestamp,failure_mode,in_scope
what is phoenix project?,2,Corporate Mixed Queries,2025-10-07T11:31:04.984687,No-Hit (Out-of-Scope),Partial
what is the Phoenix 2 project?,2,Corporate Mixed Queries,2025-10-07T11:27:18.665297,No-Hit (Out-of-Scope),Partial
"yes, please prepare a side-by-side redline or a more detailed narrative document for each clause.",3,Miscellaneous/Testing,2025-10-07T09:35:45.530674,No-Hit (Out-of-Scope),No
yes please provide a clause comparison with a summary of the key changes,3,Miscellaneous/Testing,2025-10-07T09:33:23.126685,No-Hit (Out-of-Scope),No
can you give me the details of the site capacity for zurich1,0,German Language - Mixed Content,2025-10-07T09:33:09.355363,Language Barrier + Mixed Scope,Partial
"No, the second version has just been uploaded",2,Corporate Mixed Queries,2025-10-07T09:32:07.518345,No-Hit (Out-of-Scope),Partial
This is the second version of the agreement.,2,Corporate Mixed Queries,2025-10-07T09:31:32.190922,No-Hit (Out-of-Scope),Partial
This is the first version. I am going to upload the newer version next.,2,Corporate Mixed Queries,2025-10-07T09:31:01.358926,No-Hit (Out-of-Scope),Partial
I am a legal counsel in digital realty. i am going to provide you with different versions of an agreement and i need you to provide me with a summary of key changes between the earlier version and the later version. Please provide me with a clause by clause comparison in a table format with a summary of each key change.,3,Miscellaneous/Testing,2025-10-07T09:30:26.026205,No-Hit (Out-of-Scope),No
Please read this document and tell me what is the relevant procedure or court process called when parties are in general agreement on the facts but only require the court to decide on a point of law,3,Miscellaneous/Testing,2025-10-07T08:26:48.749485,No-Hit (Out-of-Scope),No
please read this document and tell me where i can find provisions relevant to a trial of law,3,Miscellaneous/Testing,2025-10-07T08:25:38.359877,No-Hit (Out-of-Scope),No
which part of a trial of law can i find this under the rules of coutr 2021,3,Miscellaneous/Testing,2025-10-07T08:23:21.244060,No-Hit (Out-of-Scope),No
what is holding over in landlord and tenant law,2,Corporate Mixed Queries,2025-10-07T08:17:09.803376,No-Hit (Out-of-Scope),Partial
what does rpp stand for,2,Corporate Mixed Queries,2025-10-07T06:41:31.988002,No-Hit (Out-of-Scope),Partial
what are point of presence rooms,4,Site Discovery & Location Queries,2025-10-07T04:10:00.732907,,Yes
does anyone know if we have ability to book a carrier for a cross connect? they want to pay it...,4,Site Discovery & Location Queries,2025-10-06T16:56:35.002390,,Yes
"Thank you.  No further questions.  Kind Regards,",2,Corporate Mixed Queries,2025-10-06T16:06:24.812287,No-Hit (Out-of-Scope),Partial
"In Conversation with the FBI Webinar today, October 6, 2025 at 10:230 am to 11:15 am.  Can you summerize the main points?",2,Corporate Mixed Queries,2025-10-06T15:33:01.226981,No-Hit (Out-of-Scope),Partial
Translate to English,2,Corporate Mixed Queries,2025-10-06T13:50:26.802064,No-Hit (Out-of-Scope),Partial
can u share the data source of the above?,3,Miscellaneous/Testing,2025-10-06T12:47:52.334086,No-Hit (Out-of-Scope),No
yes its the one by schweitzer,2,Corporate Mixed Queries,2025-10-06T12:02:34.941502,No-Hit (Out-of-Scope),Partial
teach me about sel 487e,2,Corporate Mixed Queries,2025-10-06T12:01:16.501949,No-Hit (Out-of-Scope),Partial
what is WUE?,2,Corporate Mixed Queries,2025-10-06T11:22:19.938024,No-Hit (Out-of-Scope),Partial
what about dub4?,2,Corporate Mixed Queries,2025-10-06T10:04:43.523825,No-Hit (Out-of-Scope),Partial
what capacity is left to sell in dub2?,0,German Language - Mixed Content,2025-10-06T10:04:07.862860,Language Barrier + Mixed Scope,Partial
what does solid dielectric mean?,2,Corporate Mixed Queries,2025-10-06T09:39:20.863548,No-Hit (Out-of-Scope),Partial
what about in sydney?,2,Corporate Mixed Queries,2025-10-06T07:14:12.812768,No-Hit (Out-of-Scope),Partial
what is campus connect,4,Site Discovery & Location Queries,2025-10-06T07:09:50.080997,,Yes
what are peering solutions,4,Site Discovery & Location Queries,2025-10-06T07:08:29.003952,,Yes
generate a detailed proposal-ready visual diagram layout for this and provide exact POP/fiber route locations with further technical details on MAA10 connectivity options adding the above diagram,4,Site Discovery & Location Queries,2025-10-06T07:03:42.702627,,Yes
share a diagram for the above,3,Miscellaneous/Testing,2025-10-06T07:01:10.656064,No-Hit (Out-of-Scope),No
"Please explain explain related teams or processes that interface with Implementation Services, such as Solutions Engineering or Service Fabric deployments.",1,Connectivity & Cross-Connects,2025-10-06T06:48:40.511809,,Yes
please do so,3,Miscellaneous/Testing,2025-10-06T06:33:53.361341,No-Hit (Out-of-Scope),No
generate a detailed proposal-ready visual diagram layout for this and provide exact POP/fiber route locations with further technical details on MAA10 connectivity options,4,Site Discovery & Location Queries,2025-10-06T06:28:07.517106,,Yes
draft a detailed logical network architecture diagram for the mentioned options,4,Site Discovery & Location Queries,2025-10-06T06:26:37.782717,,Yes
help create a detailed diagram or specify exact POP and fiber route locations for MAA 10,4,Site Discovery & Location Queries,2025-10-06T04:15:30.596773,,Yes
"Provide a Network architecture design/diagram for both options (TCL & Telstra) clearly showcasing the diversified POP and Last Mile DC MAA 10 and MMR.

2G+2G (4G fixed port) with 10G burst diverse carriers from Telstra
2G+2G (4G fixed port) with 10G burst diverse carriers from TTSL",4,Site Discovery & Location Queries,2025-10-06T04:14:45.240748,,Yes
"Network architecture design for both options (TCL & Telstra) clearly showcasing the diversified POP and Last Mile DC MAA 10 and MMR.
1.	2G+2G (4G fixed port) with 10G burst diverse carriers from Telstra
2.	2G+2G (4G fixed port) with 10G burst diverse carriers from TTSL",4,Site Discovery & Location Queries,2025-10-06T04:11:59.011293,,Yes
Does Service Fabric support MACsec?,1,Connectivity & Cross-Connects,2025-10-06T02:15:49.721005,,Yes
what is AIPx?,2,Corporate Mixed Queries,2025-10-05T15:35:23.500407,No-Hit (Out-of-Scope),Partial
explain to me what AI exchange is?,2,Corporate Mixed Queries,2025-10-05T15:34:56.248212,No-Hit (Out-of-Scope),Partial
how effective is quantinary ammonium compound,2,Corporate Mixed Queries,2025-10-04T04:17:54.736825,No-Hit (Out-of-Scope),Partial
does sevicefabric support internet,1,Connectivity & Cross-Connects,2025-10-03T18:34:28.266525,,Yes
what are the key network challenges enterprises face,4,Site Discovery & Location Queries,2025-10-03T17:48:03.830199,,Yes
Give me the key challenges enterprises face with global interconnection,4,Site Discovery & Location Queries,2025-10-03T17:46:34.021194,,Yes
List the sites with COLO that have Air Cooled Target MAX Cage Watts of 3040 w/sqm or above,0,German Language - Mixed Content,2025-10-03T17:15:46.584018,Language Barrier + Mixed Scope,Partial
what is a  intrasuite packopathway?,4,Site Discovery & Location Queries,2025-10-03T17:09:21.140389,,Yes
how many kw for a single cabinet,0,German Language - Mixed Content,2025-10-03T17:07:40.059076,Language Barrier + Mixed Scope,Partial
how is capacity qouted,0,German Language - Mixed Content,2025-10-03T17:05:53.605328,Language Barrier + Mixed Scope,Partial
"no, thanks. i just needed a yes or no answer.",2,Corporate Mixed Queries,2025-10-03T17:01:50.256856,No-Hit (Out-of-Scope),Partial
is there a difference between cross connects and service exchange,4,Site Discovery & Location Queries,2025-10-03T16:19:12.129500,,Yes
whats ic the max capacity for fra8,0,German Language - Mixed Content,2025-10-03T16:06:19.482515,Language Barrier + Mixed Scope,Partial
How much diesel fuel storage is at IAD35?,0,German Language - Mixed Content,2025-10-03T16:01:34.737208,Language Barrier + Mixed Scope,Partial
"What is the design topography, capacity and staffing model of DUB12?",0,German Language - Mixed Content,2025-10-03T15:58:35.811515,Language Barrier + Mixed Scope,Partial
What is the power and cooling capacity as well as the address and topography of IAD38?,0,German Language - Mixed Content,2025-10-03T15:52:13.565376,Language Barrier + Mixed Scope,Partial
can you support me building the intranet portal,3,Miscellaneous/Testing,2025-10-03T15:37:42.438368,No-Hit (Out-of-Scope),No
it looks like this and it is as ascreenshort,2,Corporate Mixed Queries,2025-10-03T15:36:30.173874,No-Hit (Out-of-Scope),Partial
can you please locate me the document picture called hazard assessment and minimum ppe requiremnts for job tasks,3,Miscellaneous/Testing,2025-10-03T15:35:50.993632,No-Hit (Out-of-Scope),No
can we create an image together,3,Miscellaneous/Testing,2025-10-03T15:33:13.415408,No-Hit (Out-of-Scope),No
hello again can we create a picture poster together,3,Miscellaneous/Testing,2025-10-03T15:32:04.537322,No-Hit (Out-of-Scope),No
pue target ams7 graag naar voren halen. wat is het plan?,2,Corporate Mixed Queries,2025-10-03T12:08:32.985908,No-Hit (Out-of-Scope),Partial
What are the ASHRAE suggested ΔT for incoming versus outgoing water on 1080-ton trane chillers and 1200-ton cooling towers?,0,German Language - Mixed Content,2025-10-03T11:59:07.800670,Language Barrier + Mixed Scope,Partial
Do we have access to a copy of the ASHRAE standards?,3,Miscellaneous/Testing,2025-10-03T11:12:57.030416,No-Hit (Out-of-Scope),No
it's for the generators in dk and shall be done like this,2,Corporate Mixed Queries,2025-10-03T09:54:09.128377,No-Hit (Out-of-Scope),Partial
with logical system,2,Corporate Mixed Queries,2025-10-03T09:51:19.625130,No-Hit (Out-of-Scope),Partial
i need a template in excel for adding generators as assets,3,Miscellaneous/Testing,2025-10-03T09:51:09.262755,No-Hit (Out-of-Scope),No
"cph, work under the floor",2,Corporate Mixed Queries,2025-10-03T09:03:36.970743,No-Hit (Out-of-Scope),Partial
arbejde under gulv,2,Corporate Mixed Queries,2025-10-03T09:02:32.274616,No-Hit (Out-of-Scope),Partial
What can you do?,2,Corporate Mixed Queries,2025-10-03T07:56:37.973808,No-Hit (Out-of-Scope),Partial
nej menar 2n,2,Corporate Mixed Queries,2025-10-03T07:54:25.820663,No-Hit (Out-of-Scope),Partial
ups redundancy är: n+2,2,Corporate Mixed Queries,2025-10-03T07:54:14.894841,No-Hit (Out-of-Scope),Partial
what if i need 300kw in denmark and 100 square metres,0,German Language - Mixed Content,2025-10-03T06:12:49.134986,Language Barrier + Mixed Scope,Partial
"if i need 1.2mw and 200 square metres in denmark, where can i get that?",0,German Language - Mixed Content,2025-10-03T06:11:11.922764,Language Barrier + Mixed Scope,Partial
What can Nexus do? Write it in 3rd person,2,Corporate Mixed Queries,2025-10-03T05:02:22.267207,No-Hit (Out-of-Scope),Partial
Write it in third person,2,Corporate Mixed Queries,2025-10-03T05:01:55.248159,No-Hit (Out-of-Scope),Partial
what is metro connect and cross connect,4,Site Discovery & Location Queries,2025-10-03T02:39:16.036582,,Yes
what is our total power capacity now on platformdigital?,0,German Language - Mixed Content,2025-10-03T01:25:23.609355,Language Barrier + Mixed Scope,Partial
hello nexus,2,Corporate Mixed Queries,2025-10-03T01:22:56.856534,No-Hit (Out-of-Scope),Partial
what about in the context of construction?,2,Corporate Mixed Queries,2025-10-02T19:48:40.485986,No-Hit (Out-of-Scope),Partial
how about this one: cs3268856,2,Corporate Mixed Queries,2025-10-02T19:39:37.348759,No-Hit (Out-of-Scope),Partial
please refine and condense this messaging to help paint a clearer picture,3,Miscellaneous/Testing,2025-10-02T19:31:34.660033,No-Hit (Out-of-Scope),No
"rewrite I wanted to provide you with a summary specifically for the delay updates that occurred during the NJ event. Dublin sites during a peak volume period.
Early in the incident we identified this to be a Interconnection issue based on the alarms seen by our Global Command Center. The first notice sent was based on what we first received an alarm on. It was determined after that there was a switchgear/electrical outage.
Unfortunately, our GCC was also configured at the Delawanna site and our ability to monitor events, utilize internal support systems including notifications, and phone system all went down. To add, this is one of the two peak times our GCC experiences from a trend perspective. The GCC being down necessitated a failover to our Dublin facility operating at approximately half capacity. Unfortunately, once service was restored at Clifton, a number of IT challenges persisted for several hours, delaying full recovery of the GCC.

Another challenge we had that not only did the DIA and Power go down but it also took down all of the carriers coming into our building due to Carrier configuration not being redundant between Delawanna and the Peekay site. I believe this was explained by Yahel during our last call with you guys as it didn’t just impact our customers but impacted us as well. 
•	Upon failover, Interconnectivity communications were rapidly disseminated to affected customers via our UK GNOC engineers. 
•	Unfortunately, complications with Clifton’s IT environment prevented the phone system switch back to Talk Desk until late evening, prolonging internal DLR operational impacts.

We acknowledge the delays in communication and are working on and had been working on correcting those issues and ensure we have true redundancy for our own internal monitoring, comms, and phone systems. 

We appreciate your patience and continued partnership and truly apologize for the challenges this caused you and your customers with the communication delays and confusion. 

I’ve attached an escalation matrix if there are challenges communicating with the GCC or you aren’t receiving updates in a timely manner during an incident.",4,Site Discovery & Location Queries,2025-10-02T19:30:54.546094,,Yes
what internet provisors are in building J?,4,Site Discovery & Location Queries,2025-10-02T18:26:02.674605,,Yes
yes please draft this in customer comm format,3,Miscellaneous/Testing,2025-10-02T18:20:03.401942,No-Hit (Out-of-Scope),No
"we were down hard in Clifton and failed over at half capacity to Dublin at one of our peak times for volume in tickets and calls. Even when Clifton came back there was a myriad of IT issues that took hours to sort out. It took a long time to identify the Electrical issue and separate from the DIA/Interconnectivity issues. I personally called the property manager to run next door and get me with the engineer (Peter) who filled me in on the UPS/electrical issue and had to get that passed on to the DUB GCC, Roy and Lisa. We got interconnectivity comms out quickly via the GNOC engineers in UK but that only covered a fraction of the customers. You already know about the GSN issues and what we had to work with to get anything out.  I swore the first electrical issue comms came out a little passed 10 AM but I cannot find it.  The other time stamps are above and who received or was sent to.  The Clifton phone systems didnt even get swung back to Talk Desk into the evening because IT and the TD team were having issues all stemmed from the earlier IT issues - please rewrite to make customer facing and condense",4,Site Discovery & Location Queries,2025-10-02T18:19:36.101642,,Yes
is vix and service fabric the same thing,1,Connectivity & Cross-Connects,2025-10-02T17:48:35.647220,,Yes
what is vix?,2,Corporate Mixed Queries,2025-10-02T17:46:45.100486,No-Hit (Out-of-Scope),Partial
"can you explain dfw35 utility feeds, generators, fuel storage, ups system, cooling, and fire suppression",0,German Language - Mixed Content,2025-10-02T16:36:23.093047,Language Barrier + Mixed Scope,Partial
what is bowen shi's role,2,Corporate Mixed Queries,2025-10-02T16:30:23.590623,No-Hit (Out-of-Scope),Partial
How about VA3's new name,2,Corporate Mixed Queries,2025-10-02T15:58:15.873038,No-Hit (Out-of-Scope),Partial
"List the sites with Air Cooled Target MAX Cage Watts of 3040 w/sqm or above
 ",0,German Language - Mixed Content,2025-10-02T15:32:13.723773,Language Barrier + Mixed Scope,Partial
What is the address and total power capacity of LHR13,0,German Language - Mixed Content,2025-10-02T14:20:30.838400,Language Barrier + Mixed Scope,Partial
"This almost worked. However, I was still unable to find the Variable 3... Can you provide the {item-id} based on the absolute link to the workbook: https://digitalrealty.sharepoint.com/:x:/s/globalfpaand-ConsolidationTeam/EUzBChj9KK1HuYXYWsp7viUBkLivrcD20_v770fuGHZIeg?e=ZIWV8d",3,Miscellaneous/Testing,2025-10-02T13:35:58.686140,No-Hit (Out-of-Scope),No
"Now a more specific ask on Microsoft Graph - I need to provide these variables in the below GET call:
https://graph.microsoft.com/v1.0/sites/{site-id}/drives/{drive-id}/items/{item-id}/workbook/tables/{table-name}/rows/add

Variable 1: {site-id}
Variable 2: {drive-id}
Variable 3: {item-id}

Can you please suggest where I can find each of the variables so that I can complete the call to find this SharePoint document:
https://digitalrealty.sharepoint.com/:x:/s/globalfpaand-ConsolidationTeam/EUzBChj9KK1HuYXYWsp7viUBkLivrcD20_v770fuGHZIeg?e=ZIWV8d",3,Miscellaneous/Testing,2025-10-02T13:27:40.176007,No-Hit (Out-of-Scope),No
"Thank you, looks like you know your business :)",2,Corporate Mixed Queries,2025-10-02T13:25:08.263090,No-Hit (Out-of-Scope),Partial
Can you help me with defining the right format of http request to Microsoft Graph GET?,3,Miscellaneous/Testing,2025-10-02T13:23:51.999566,No-Hit (Out-of-Scope),No
what capacity is available in italy?,0,German Language - Mixed Content,2025-10-02T11:14:11.127018,Language Barrier + Mixed Scope,Partial
"•	12m reservation extensions applicable to the non executed reservation for 7.5MW Comm cloud AND 5MW Sov cloud at the initial capacity rate
•	Ending on NOV 1st 2026
•	RFS delivery for Comm Cloud - no later than 12m after notice
•	RFS delivery for Sov Cloud - not earlier than 12m after notice - on a DLR defined date
•	No change to current ROFO clause",0,German Language - Mixed Content,2025-10-02T09:43:38.342150,Language Barrier + Mixed Scope,Partial
i need to summarize a discussion item for ic related to MSFT contracts with us in Hattersheim FRA33,3,Miscellaneous/Testing,2025-10-02T09:43:09.350182,No-Hit (Out-of-Scope),No
when does the lock period for trading stock end?,2,Corporate Mixed Queries,2025-10-02T09:28:55.288567,No-Hit (Out-of-Scope),Partial
why do i not have access to the microsoft whiteboard app from our app page?,3,Miscellaneous/Testing,2025-10-02T09:19:02.483853,No-Hit (Out-of-Scope),No
yes do that and use only stabilized sites for EU,2,Corporate Mixed Queries,2025-10-02T06:26:21.908369,No-Hit (Out-of-Scope),Partial
check out this internal resource for the PUE data https://app.powerbi.com/groups/me/apps/ac03cd57-d7bd-43b8-9beb-c88b3648b23e/reports/291d24de-5bb4-4cc5-9da4-b51850469a9a/ReportSection730d22a8be42207aa9eb?ctid=45d53a40-131c-4896-94ef-8cd3538b3834&experience=power-bi,3,Miscellaneous/Testing,2025-10-02T06:25:18.865998,No-Hit (Out-of-Scope),No
"nothing as of yet, saw you were available, and figured id download you to see what you are capable of",3,Miscellaneous/Testing,2025-10-01T19:25:35.794132,No-Hit (Out-of-Scope),No
"Good day.  GTT is wanting to know patch panel, ports, case number and BAN for this circuit T7488",4,Site Discovery & Location Queries,2025-10-01T18:35:40.714829,,Yes
yes please provide some potential speaker suggestions,3,Miscellaneous/Testing,2025-10-01T18:32:07.436362,No-Hit (Out-of-Scope),No
Write an email for me to my prospect at a large enterprise based in Texas,3,Miscellaneous/Testing,2025-10-01T18:28:06.290408,No-Hit (Out-of-Scope),No
current available inventory in chicago,0,German Language - Mixed Content,2025-10-01T18:12:07.717408,Language Barrier + Mixed Scope,Partial
can you change it up?,2,Corporate Mixed Queries,2025-10-01T15:55:08.981297,No-Hit (Out-of-Scope),Partial
What is the next us holiday?,2,Corporate Mixed Queries,2025-10-01T14:39:20.584009,No-Hit (Out-of-Scope),Partial
is this site built yet?,2,Corporate Mixed Queries,2025-10-01T14:07:35.484366,No-Hit (Out-of-Scope),Partial
How many MW did we install in 2025?,0,German Language - Mixed Content,2025-10-01T14:03:51.572037,Language Barrier + Mixed Scope,Partial
give me more information from fra33',2,Corporate Mixed Queries,2025-10-01T14:03:41.159588,No-Hit (Out-of-Scope),Partial
hello bill stein,2,Corporate Mixed Queries,2025-10-01T14:02:48.310360,No-Hit (Out-of-Scope),Partial
forecast categories,2,Corporate Mixed Queries,2025-10-01T13:23:50.801661,No-Hit (Out-of-Scope),Partial
can we not call it minor tweaks,2,Corporate Mixed Queries,2025-10-01T12:46:04.205301,No-Hit (Out-of-Scope),Partial
can you make this better? particularly the first sentence? Still keep language casual,3,Miscellaneous/Testing,2025-10-01T12:43:42.275269,No-Hit (Out-of-Scope),No
"Hello, what would be a ideal setup for a firecape run as an ironman",2,Corporate Mixed Queries,2025-10-01T12:27:02.493519,No-Hit (Out-of-Scope),Partial
too formal,2,Corporate Mixed Queries,2025-10-01T12:22:35.760615,No-Hit (Out-of-Scope),Partial
"I mean, that the EORI number in denmark is just the CVR number with DK in front?",2,Corporate Mixed Queries,2025-10-01T12:19:07.989187,No-Hit (Out-of-Scope),Partial
"But in denmark, isn't it just the CVR with DK before it?",2,Corporate Mixed Queries,2025-10-01T12:18:26.873054,No-Hit (Out-of-Scope),Partial
What is our EORI number?,2,Corporate Mixed Queries,2025-10-01T12:17:46.818180,No-Hit (Out-of-Scope),Partial
What should I do if my computer starts to become slow?,2,Corporate Mixed Queries,2025-10-01T11:39:35.715184,No-Hit (Out-of-Scope),Partial
delta convertion?,2,Corporate Mixed Queries,2025-10-01T11:15:45.536212,No-Hit (Out-of-Scope),Partial
"what are the 2 types of ups, double transforming and what more?",2,Corporate Mixed Queries,2025-10-01T11:15:21.680306,No-Hit (Out-of-Scope),Partial
How does a static transfer switch work?,4,Site Discovery & Location Queries,2025-10-01T11:08:31.005907,,Yes
How does mechanical interlocking work?,2,Corporate Mixed Queries,2025-10-01T10:56:45.233084,No-Hit (Out-of-Scope),Partial
What does break before make transfer mean?,2,Corporate Mixed Queries,2025-10-01T09:43:52.975479,No-Hit (Out-of-Scope),Partial
what are throw over switches used for?,2,Corporate Mixed Queries,2025-10-01T09:30:37.576710,No-Hit (Out-of-Scope),Partial
Can panel have different media type ports,4,Site Discovery & Location Queries,2025-10-01T09:01:40.129179,,Yes
"but like it can be use in a rack and for genset or utility power, what else can it be used for?",2,Corporate Mixed Queries,2025-10-01T08:56:26.069915,No-Hit (Out-of-Scope),Partial
Make a more in depth with full details guide,3,Miscellaneous/Testing,2025-10-01T08:49:40.912837,No-Hit (Out-of-Scope),No
How do I do a cross connect from start to finish?,4,Site Discovery & Location Queries,2025-10-01T08:48:47.320948,,Yes
Do we use ATS?,2,Corporate Mixed Queries,2025-10-01T08:47:53.606224,No-Hit (Out-of-Scope),Partial
I mean an automatic voltage regulator,2,Corporate Mixed Queries,2025-10-01T08:12:56.075202,No-Hit (Out-of-Scope),Partial
I mean an AVR*,2,Corporate Mixed Queries,2025-10-01T08:12:30.744959,No-Hit (Out-of-Scope),Partial
What does an ACR do?,2,Corporate Mixed Queries,2025-10-01T08:12:17.344437,No-Hit (Out-of-Scope),Partial
List available power capacity at DFW10,0,German Language - Mixed Content,2025-10-01T06:45:11.626914,Language Barrier + Mixed Scope,Partial
How much time do I have for the SLA for A100?,0,German Language - Mixed Content,2025-10-01T06:08:53.813555,Language Barrier + Mixed Scope,Partial
How can you help me with: Support in checking the physical layer components such as light levels and connectivity when incidents or issues arise.,4,Site Discovery & Location Queries,2025-10-01T06:02:57.436958,,Yes
"Hello Nexus, I am in the remote hands team, what can you help me with?",2,Corporate Mixed Queries,2025-10-01T06:01:19.625258,No-Hit (Out-of-Scope),Partial
what is the cost of a cmpus connect between acc7 and acc9,4,Site Discovery & Location Queries,2025-10-01T02:04:59.826765,,Yes
what is the cost of a metro cross connect between acc7 and acc9,4,Site Discovery & Location Queries,2025-10-01T02:02:38.976430,,Yes
how much revenue in in the us/cananda that relates to service fabric billings,1,Connectivity & Cross-Connects,2025-10-01T01:42:30.530186,,Yes
"What is the liquid cooling readiness across legacy, current, and NexGen designs. at DFW10",0,German Language - Mixed Content,2025-10-01T00:39:58.451668,Language Barrier + Mixed Scope,Partial
list the service fabric types at FRA12,1,Connectivity & Cross-Connects,2025-10-01T00:36:55.423408,,Yes
"What is the liquid cooling readiness across legacy, current, and NexGen designs. at FRA12",0,German Language - Mixed Content,2025-10-01T00:35:42.332938,Language Barrier + Mixed Scope,Partial
do they have 1 cabinet adjacent to current space there,0,German Language - Mixed Content,2025-09-30T21:56:10.634443,Language Barrier + Mixed Scope,Partial
How can I find out if this cross connect is still active:?  MRC for Fiber 3rd party Cross Connect from Sidera to Activ – Service Order: 129113 : Case#: 116454,4,Site Discovery & Location Queries,2025-09-30T20:56:10.138964,,Yes
"nanog dallas (mid oct) is also on sarah's list for me, but i have to move some things around before i'm available. no rush on this one, but i wanted to put this on your radar.",2,Corporate Mixed Queries,2025-09-30T15:44:02.808631,No-Hit (Out-of-Scope),Partial
"can you help me polish this? hi suzie,sarah will be in denver next week to meet with rafael medina mardones from google. we're trying to secure a meeting with tabata materan as well, but it's dependent on her availability. she thought it would be a great opportunity for me to get some face time with the denver folks, as well some 1:1 time with sarah.i wanted to run this by you and get your approval before booking travel.thoughts?best,louis",3,Miscellaneous/Testing,2025-09-30T15:41:38.713619,No-Hit (Out-of-Scope),No
How many kW of capacity will be available in Phoenix market in 2026,0,German Language - Mixed Content,2025-09-30T15:34:29.782961,Language Barrier + Mixed Scope,Partial
how many in the north american region,2,Corporate Mixed Queries,2025-09-30T15:17:56.354075,No-Hit (Out-of-Scope),Partial
Is PUE available through you?,2,Corporate Mixed Queries,2025-09-30T14:47:24.192251,No-Hit (Out-of-Scope),Partial
rewrite to encourage the team to award all the achievers points to one another for a job well done: today is the last day of the month to award achievers points to a great team member! be sure to give out those points. the team is doing great so don't let that effort go unrecognized by leaving points behind.,2,Corporate Mixed Queries,2025-09-30T13:43:06.344368,No-Hit (Out-of-Scope),Partial
'can we offer 5 years with 5 year option to extend.,2,Corporate Mixed Queries,2025-09-30T13:09:55.165253,No-Hit (Out-of-Scope),Partial
where can i put files that everyobe can access,3,Miscellaneous/Testing,2025-09-30T13:08:13.785891,No-Hit (Out-of-Scope),No
for hong kong,2,Corporate Mixed Queries,2025-09-30T13:07:15.779180,No-Hit (Out-of-Scope),Partial
3. first right of refusal (fror) on any additional adjoining space.,2,Corporate Mixed Queries,2025-09-30T13:06:25.665625,No-Hit (Out-of-Scope),Partial
"yes, please assist wity steps to verify the live circuit status for this cross connect.  Thank you.",4,Site Discovery & Location Queries,2025-09-30T13:05:51.073655,,Yes
"Please let me know if this cross connect is disconnect:  Client Name : Weeden Address : 111 8th Ave New York, NY 10011 USA Vendor Circuit   : MRC for Fiber 3rd party Cross Connect from Sidera to Activ – Service Order: 129113 : Case#: 116454 Legacy BAN: 111-C143444 New BAN: Account #: JFK010-241535-5668",4,Site Discovery & Location Queries,2025-09-30T13:03:04.239973,,Yes
is there and admin team or e-mail I can used to request those changes,3,Miscellaneous/Testing,2025-09-30T09:55:33.664272,No-Hit (Out-of-Scope),No
"re write the follwing Good morning, all  Hope your all well  Please see attached the plan for the role out for ePermits across the Dublin sites, I have also attached the permits that are used on the system.  Please let me know if you see any bumps in the road or if we have missed anything.",3,Miscellaneous/Testing,2025-09-30T09:34:08.591402,No-Hit (Out-of-Scope),No
DEG cooling,2,Corporate Mixed Queries,2025-09-30T09:30:08.836726,No-Hit (Out-of-Scope),Partial
"I have an opportunity in London, who in PMG should I speak to?",2,Corporate Mixed Queries,2025-09-30T08:24:44.920486,No-Hit (Out-of-Scope),Partial
How much capacity do we have available in Frankfurt,0,German Language - Mixed Content,2025-09-30T08:23:59.060591,Language Barrier + Mixed Scope,Partial
Can you please tell me about Digital Nexus,2,Corporate Mixed Queries,2025-09-30T08:23:23.893178,No-Hit (Out-of-Scope),Partial
Thank you!,2,Corporate Mixed Queries,2025-09-30T07:52:11.385613,No-Hit (Out-of-Scope),Partial
Do you have any data on Didzis Silis?,2,Corporate Mixed Queries,2025-09-30T07:51:46.580233,No-Hit (Out-of-Scope),Partial
Can you retrieve the Property Name of fin020de?,3,Miscellaneous/Testing,2025-09-30T07:51:21.866172,No-Hit (Out-of-Scope),No
"Where did you retrieve the number ""17,000 to 18,000"" from?",2,Corporate Mixed Queries,2025-09-30T07:49:25.988361,No-Hit (Out-of-Scope),Partial
What is the population of Cesis?,2,Corporate Mixed Queries,2025-09-30T07:48:31.677176,No-Hit (Out-of-Scope),Partial
What is the capital of Latvia?,2,Corporate Mixed Queries,2025-09-30T07:48:02.929752,No-Hit (Out-of-Scope),Partial
Why would you not suggest http request graphi API call?,2,Corporate Mixed Queries,2025-09-30T07:46:04.296452,No-Hit (Out-of-Scope),Partial
Optimize a Power Automate cloud flow copying rows from one Excel table to another,3,Miscellaneous/Testing,2025-09-30T07:44:48.033258,No-Hit (Out-of-Scope),No
"Prices of below in Mumbai

Core Switch:
Cisco Catalyst 9300 Series or Nexus 9000 Series
Arista 7050X or 7280 Series
Juniper QFX5100 Series
Edge Switch (if separate):
Cisco Catalyst 9200 Series
Arista 720XP Series",4,Site Discovery & Location Queries,2025-09-30T06:51:57.858903,,Yes
do we have a business in brazil?,2,Corporate Mixed Queries,2025-09-30T06:46:13.881357,No-Hit (Out-of-Scope),Partial
"Provide a solution for 2Gb x 2 links combined into LAG (aggregation group), so that customer get 4Gbps bandwidth CDR with burst to 10GB 
share network diagram with required devices make and model",4,Site Discovery & Location Queries,2025-09-30T06:40:22.753113,,Yes
"Provide a solution for 2Gb x 2 links combined into LAG (aggregation group), so that customer get 4Gbps bandwidth CDR",4,Site Discovery & Location Queries,2025-09-30T06:38:58.310818,,Yes
